trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,Colourcodes,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_4.ran,StimulusPos,key_resp.keys,key_resp.rt,key_resp_2.keys,key_resp_2.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,Circle1_col,Ecc,Circle2_col,similarity,response_time,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,mouse_7.clicked_name,catchprac,catchnumberprac,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,mouse_6.clicked_name,duringprac.thisRepN,duringprac.thisTrialN,duringprac.thisN,duringprac.thisIndex,duringprac.ran,key_resp_22.keys,key_resp_22.rt,Circle1_colour,Circle2_colour,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,catchresponse,catchnumber,response_time_catch,Catch,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,Colourpair,Temporder,mouse_3.clicked_name,mouse_11.clicked_name,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,key_resp_instr_Ishi.keys,key_resp_instr_Ishi.rt,Ishi_trial_keyresp.keys,Ishi_trial_keyresp.rt,Ishi_textbox.text,Ishi_mouse.x,Ishi_mouse.y,Ishi_mouse.leftButton,Ishi_mouse.midButton,Ishi_mouse.rightButton,Ishi_loop.thisRepN,Ishi_loop.thisTrialN,Ishi_loop.thisN,Ishi_loop.thisIndex,Ishi_loop.ran,imageaddress,textbox.text,mouse_4.x,mouse_4.y,mouse_4.leftButton,mouse_4.midButton,mouse_4.rightButton,mouse_4.clicked_name,textbox_2.text,mouse_8.x,mouse_8.y,mouse_8.leftButton,mouse_8.midButton,mouse_8.rightButton,mouse_8.clicked_name,textbox_3.text,mouse_9.x,mouse_9.y,mouse_9.leftButton,mouse_9.midButton,mouse_9.rightButton,mouse_9.clicked_name,textbox_4.text,mouse_12.x,mouse_12.y,mouse_12.leftButton,mouse_12.midButton,mouse_12.rightButton,mouse_12.clicked_name,textbox_5.text,mouse_13.x,mouse_13.y,mouse_13.leftButton,mouse_13.midButton,mouse_13.rightButton,mouse_13.clicked_name,textbox_6.text,mouse_14.x,mouse_14.y,mouse_14.leftButton,mouse_14.midButton,mouse_14.rightButton,textbox_7.text,mouse_15.x,mouse_15.y,mouse_15.leftButton,mouse_15.midButton,mouse_15.rightButton,mouse_15.clicked_name
,,,,,,6081bf53d3c45fe4c8fd3ea3,62c538b636daf98b3ef3eecb,2022-07-06_09h04.10.279,Colour_Asymmetry_Pilot,2022.1.3,Win32,60.04924038,62c50e9c1127f2cd403a315f,,,,,,,,,,,,,,,,,,,,twoone,,3,0.3161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[0.5528,0.7409999999999999,-0.71]","[0.04299999999999993,0.16060000000000008,-0.6628000000000001]",63,26,1,0,0,response1disk,17,4,1,0,0,rectangle,17,4,1,0,0,3,3,0.0024,0,17,4,1,0,0,0,109,109,60,1,60,first,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,6081bf53d3c45fe4c8fd3ea3,62c538b636daf98b3ef3eecb,2022-07-06_09h04.10.279,Colour_Asymmetry_Pilot,2022.1.3,Win32,60.04924038,62c50e9c1127f2cd403a315f,,,,,,,,,,,,,,,,,,,,twoone,,2,0.3831,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[0.6625999999999999,0.4980000000000002,-0.357]","[-0.050999999999999934,-0.6706000000000001,-0.804]",51,-40,1,0,0,response3disk,8,-6,1,0,0,rectangle,8,-6,1,0,0,3,1,0.0013,0,8,-6,1,0,0,0,110,110,23,1,23,first,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,6081bf53d3c45fe4c8fd3ea3,62c538b636daf98b3ef3eecb,2022-07-06_09h04.10.279,Colour_Asymmetry_Pilot,2022.1.3,Win32,60.04924038,62c50e9c1127f2cd403a315f,,,,,,,,,,,,,,,,,,,,twofour,,-2,0.6162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[-0.8198,-0.5138,-0.7492000000000001]","[0.796,0.2156,-0.27859999999999996]",-57,-31,1,0,0,response5disk,-7,-14,1,0,0,rectangle,-7,-14,1,0,0,3,1,0.0001,0,-7,-14,1,0,0,0,111,111,25,1,25,first,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,6081bf53d3c45fe4c8fd3ea3,62c538b636daf98b3ef3eecb,2022-07-06_09h04.10.279,Colour_Asymmetry_Pilot,2022.1.3,Win32,60.04924038,62c50e9c1127f2cd403a315f,,,,,,,,,,,,,,,,,,,,twoone,,2,0.2827,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[-0.011800000000000033,-0.906,-0.45100000000000007]","[0.8274000000000001,-0.5844,-0.9452]",77,-59,1,0,0,response3disk,26,-2,1,0,0,rectangle,26,-2,1,0,0,3,2,0.0026,0,26,-2,1,0,0,0,112,112,138,1,57,second,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,6081bf53d3c45fe4c8fd3ea3,62c538b636daf98b3ef3eecb,2022-07-06_09h04.10.279,Colour_Asymmetry_Pilot,2022.1.3,Win32,60.04924038,62c50e9c1127f2cd403a315f,,,,,,,,,,,,,,,,,,,,twoone,,3,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[0.19199999999999995,0.18419999999999992,0.5136000000000001]","[-0.38039999999999996,-0.4276,-0.1452]",58,50,1,0,0,response1disk,9,5,1,0,0,rectangle,9,5,1,0,0,3,3,0.0021,0,9,5,1,0,0,0,113,113,129,1,48,second,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,6081bf53d3c45fe4c8fd3ea3,62c538b636daf98b3ef3eecb,2022-07-06_09h04.10.279,Colour_Asymmetry_Pilot,2022.1.3,Win32,60.04924038,62c50e9c1127f2cd403a315f,,,,,,,,,,,,,,,,,,,,onetwo,,-2,0.3325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[-0.9216,-0.5529999999999999,-0.3962]","[0.22340000000000004,-0.9296,-0.7884]",-41,-33,1,0,0,response5disk,-12,1,1,0,0,rectangle,-12,1,1,0,0,3,3,0.0001,0,-12,1,1,0,0,0,114,114,77,1,77,first,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,6081bf53d3c45fe4c8fd3ea3,62c538b636daf98b3ef3eecb,2022-07-06_09h04.10.279,Colour_Asymmetry_Pilot,2022.1.3,Win32,60.04924038,62c50e9c1127f2cd403a315f,,,,,,,,,,,,,,,,,,,,twofour,,-1,0.7992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[0.9842,0.7409999999999999,-0.6628000000000001]","[0.6547999999999998,-0.043199999999999905,-0.011800000000000033]",-22,-40,1,0,0,response5disk,-9,-4,1,0,0,rectangle,-9,-4,1,0,0,3,2,0.002,0,-9,-4,1,0,0,0,115,115,107,1,26,second,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,6081bf53d3c45fe4c8fd3ea3,62c538b636daf98b3ef3eecb,2022-07-06_09h04.10.279,Colour_Asymmetry_Pilot,2022.1.3,Win32,60.04924038,62c50e9c1127f2cd403a315f,,,,,,,,,,,,,,,,,,,,twofour,,-4,0.6325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[-0.9138,-0.5296000000000001,-0.5529999999999999]","[-0.050999999999999934,-0.6706000000000001,-0.804]",-67,77,1,0,0,response7disk,19,8,1,0,0,rectangle,19,8,1,0,0,3,3,0.0027,0,19,8,1,0,0,0,116,116,124,1,43,second,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,6081bf53d3c45fe4c8fd3ea3,62c538b636daf98b3ef3eecb,2022-07-06_09h04.10.279,Colour_Asymmetry_Pilot,2022.1.3,Win32,60.04924038,62c50e9c1127f2cd403a315f,,,,,,,,,,,,,,,,,,,,fourtwo,,2,0.3336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[-0.4668,-0.8746,-0.2942]","[-0.6,0.16860000000000008,0.44300000000000006]",46,-28,1,0,0,response3disk,18,-4,1,0,0,rectangle,18,-4,1,0,0,3,3,0.0002,0,18,-4,1,0,0,0,117,117,71,1,71,first,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,6081bf53d3c45fe4c8fd3ea3,62c538b636daf98b3ef3eecb,2022-07-06_09h04.10.279,Colour_Asymmetry_Pilot,2022.1.3,Win32,60.04924038,62c50e9c1127f2cd403a315f,,,,,,,,,,,,,,,,,,,,onetwo,,1,1.6333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[-0.6,0.16860000000000008,0.44300000000000006]","[-0.4668,-0.8746,-0.2942]",29,-33,1,0,0,response3disk,13,-6,1,0,0,rectangle,13,-6,1,0,0,3,1,0.0026,0,13,-6,1,0,0,0,118,118,152,1,71,second,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,6081bf53d3c45fe4c8fd3ea3,62c538b636daf98b3ef3eecb,2022-07-06_09h04.10.279,Colour_Asymmetry_Pilot,2022.1.3,Win32,60.04924038,62c50e9c1127f2cd403a315f,,,,,,,,,,,,,,,,,,,,onetwo,,-2,0.3327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[-0.4276,0.0038000000000000256,-0.3256]","[0.9213999999999998,0.6391999999999998,-0.9922]",-79,-47,1,0,0,response5disk,-26,-4,1,0,0,rectangle,-26,-4,1,0,0,3,1,0.0003,0,-26,-4,1,0,0,0,119,119,38,1,38,first,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,6081bf53d3c45fe4c8fd3ea3,62c538b636daf98b3ef3eecb,2022-07-06_09h04.10.279,Colour_Asymmetry_Pilot,2022.1.3,Win32,60.04924038,62c50e9c1127f2cd403a315f,,,,,,,,,,,,,,,,,,,,threeone,,-2,0.1891,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[-0.34920000000000007,-0.702,-0.5216]","[-0.24719999999999998,0.5213999999999999,-0.12959999999999994]",-83,-58,1,0,0,response5disk,-23,0,1,0,0,rectangle,-23,0,1,0,0,3,2,0.0035,0,-23,0,1,0,0,0,120,120,151,1,70,second,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,6081bf53d3c45fe4c8fd3ea3,62c538b636daf98b3ef3eecb,2022-07-06_09h04.10.279,Colour_Asymmetry_Pilot,2022.1.3,Win32,60.04924038,62c50e9c1127f2cd403a315f,,,,,,,,,,,,,,,,,,,,onethree,,2,0.2992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[0.9842,0.7409999999999999,-0.6628000000000001]","[0.8274000000000001,-0.5844,-0.9452]",57,-27,1,0,0,response3disk,22,-6,1,0,0,rectangle,22,-6,1,0,0,3,1,0.0022,0,22,-6,1,0,0,0,121,121,85,1,4,second,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,6081bf53d3c45fe4c8fd3ea3,62c538b636daf98b3ef3eecb,2022-07-06_09h04.10.279,Colour_Asymmetry_Pilot,2022.1.3,Win32,60.04924038,62c50e9c1127f2cd403a315f,,,,,,,,,,,,,,,,,,,,twoone,,3,0.3331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[0.7018,0.7176,0.6155999999999999]","[0.34099999999999997,0.5841999999999998,-0.9844]",87,50,1,0,0,response1disk,6,3,1,0,0,rectangle,81,-27,1,0,0,2,2,1.1828,1,26,0,1,0,0,0,122,122,160,1,79,second,response3disk_3,rectangle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,6081bf53d3c45fe4c8fd3ea3,62c538b636daf98b3ef3eecb,2022-07-06_09h04.10.279,Colour_Asymmetry_Pilot,2022.1.3,Win32,60.04924038,62c50e9c1127f2cd403a315f,,,,,,,,,,,,,,,,,,,,threefour,,3,1.1662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[0.04299999999999993,0.16060000000000008,-0.6628000000000001]","[-0.7412000000000001,-0.08239999999999992,-0.6864]",39,30,1,0,0,response1disk,9,13,1,0,0,rectangle,9,13,1,0,0,2,3,0.002,0,9,13,1,0,0,0,123,123,149,1,68,second,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,6081bf53d3c45fe4c8fd3ea3,62c538b636daf98b3ef3eecb,2022-07-06_09h04.10.279,Colour_Asymmetry_Pilot,2022.1.3,Win32,60.04924038,62c50e9c1127f2cd403a315f,,,,,,,,,,,,,,,,,,,,threefour,,3,0.2994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[0.30180000000000007,-0.7884,-0.9844]","[0.3802000000000001,0.19199999999999995,-0.6394]",74,66,1,0,0,response1disk,2,5,1,0,0,rectangle,2,5,1,0,0,2,1,0.0023,0,2,5,1,0,0,0,124,124,46,1,46,first,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,6081bf53d3c45fe4c8fd3ea3,62c538b636daf98b3ef3eecb,2022-07-06_09h04.10.279,Colour_Asymmetry_Pilot,2022.1.3,Win32,60.04924038,62c50e9c1127f2cd403a315f,,,,,,,,,,,,,,,,,,,,onethree,,-4,0.4993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[-0.10599999999999998,-0.10599999999999998,0.5841999999999998]","[0.34099999999999997,0.5841999999999998,-0.9844]",-52,62,1,0,0,response7disk,4,6,1,0,0,rectangle,4,6,1,0,0,2,1,0.0003,0,4,6,1,0,0,0,125,125,12,1,12,first,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,6081bf53d3c45fe4c8fd3ea3,62c538b636daf98b3ef3eecb,2022-07-06_09h04.10.279,Colour_Asymmetry_Pilot,2022.1.3,Win32,60.04924038,62c50e9c1127f2cd403a315f,,,,,,,,,,,,,,,,,,,,onethree,,2,0.4662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[-0.6235999999999999,-0.6786,-0.08239999999999992]","[-0.09019999999999995,0.44300000000000006,0.5371999999999999]",57,-25,1,0,0,response3disk,24,-1,1,0,0,rectangle,24,-1,1,0,0,2,3,0.0026,0,24,-1,1,0,0,0,126,126,113,1,32,second,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,6081bf53d3c45fe4c8fd3ea3,62c538b636daf98b3ef3eecb,2022-07-06_09h04.10.279,Colour_Asymmetry_Pilot,2022.1.3,Win32,60.04924038,62c50e9c1127f2cd403a315f,,,,,,,,,,,,,,,,,,,,onethree,,1,1.4821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[-0.0040000000000000036,0.02739999999999987,-0.08239999999999992]","[0.23120000000000007,-0.7726,-0.34120000000000006]",34,-40,1,0,0,response3disk,8,3,1,0,0,rectangle,8,3,1,0,0,2,3,0.0001,0,8,3,1,0,0,0,127,127,10,1,10,first,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,6081bf53d3c45fe4c8fd3ea3,62c538b636daf98b3ef3eecb,2022-07-06_09h04.10.279,Colour_Asymmetry_Pilot,2022.1.3,Win32,60.04924038,62c50e9c1127f2cd403a315f,,,,,,,,,,,,,,,,,,,,fourtwo,,3,0.3847,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[-0.050999999999999934,-0.6706000000000001,-0.804]","[0.6625999999999999,0.4980000000000002,-0.357]",50,34,1,0,0,response1disk,-12,13,1,0,0,rectangle,22,-72,1,0,0,1,1,1.0979,1,15,8,1,0,0,0,128,128,104,1,23,second,response3disk_3,rectangle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,6081bf53d3c45fe4c8fd3ea3,62c538b636daf98b3ef3eecb,2022-07-06_09h04.10.279,Colour_Asymmetry_Pilot,2022.1.3,Win32,60.04924038,62c50e9c1127f2cd403a315f,,,,,,,,,,,,,,,,,,,,threefour,,-2,0.3163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[0.0351999999999999,0.41159999999999997,0.0038000000000000256]","[0.9372,0.20779999999999998,0.2704]",-56,-21,1,0,0,response5disk,-16,13,1,0,0,rectangle,-16,13,1,0,0,1,1,0.0002,0,-16,13,1,0,0,0,129,129,1,1,1,first,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,6081bf53d3c45fe4c8fd3ea3,62c538b636daf98b3ef3eecb,2022-07-06_09h04.10.279,Colour_Asymmetry_Pilot,2022.1.3,Win32,60.04924038,62c50e9c1127f2cd403a315f,,,,,,,,,,,,,,,,,,,,onethree,,3,0.3332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[-0.6706000000000001,-0.6157999999999999,-0.6786]","[-0.26280000000000003,-0.4746,-0.2158]",43,41,1,0,0,response1disk,11,6,1,0,0,rectangle,11,6,1,0,0,1,2,0.0028,0,11,6,1,0,0,0,130,130,145,1,64,second,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,6081bf53d3c45fe4c8fd3ea3,62c538b636daf98b3ef3eecb,2022-07-06_09h04.10.279,Colour_Asymmetry_Pilot,2022.1.3,Win32,60.04924038,62c50e9c1127f2cd403a315f,,,,,,,,,,,,,,,,,,,,onetwo,,-1,1.2829,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[-0.4902000000000001,0.2704,-0.45899999999999996]","[0.8115999999999999,-0.0040000000000000036,-0.09819999999999995]",-23,-38,1,0,0,response5disk,1,-10,1,0,0,rectangle,1,-10,1,0,0,1,2,0.0002,0,1,-10,1,0,0,0,131,131,19,1,19,first,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,6081bf53d3c45fe4c8fd3ea3,62c538b636daf98b3ef3eecb,2022-07-06_09h04.10.279,Colour_Asymmetry_Pilot,2022.1.3,Win32,60.04924038,62c50e9c1127f2cd403a315f,,,,,,,,,,,,,,,,,,,,onetwo,,-1,0.5666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[0.9763999999999999,0.30979999999999985,-0.6786]","[0.09799999999999986,-0.24719999999999998,0.15280000000000005]",-34,-63,1,0,0,response5disk,11,14,1,0,0,rectangle,11,14,1,0,0,1,3,0.0023,0,11,14,1,0,0,0,132,132,3,1,3,first,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,6081bf53d3c45fe4c8fd3ea3,62c538b636daf98b3ef3eecb,2022-07-06_09h04.10.279,Colour_Asymmetry_Pilot,2022.1.3,Win32,60.04924038,62c50e9c1127f2cd403a315f,,,,,,,,,,,,,,,,,,,,threefour,,4,1.0666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[1,0.12939999999999996,-1]","[0.34099999999999997,0.5841999999999998,-0.9844]",48,54,1,0,0,response1disk,12,-10,1,0,0,rectangle,12,-10,1,0,0,1,1,0.0024,0,12,-10,1,0,0,0,133,133,143,1,62,second,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,6081bf53d3c45fe4c8fd3ea3,62c538b636daf98b3ef3eecb,2022-07-06_09h04.10.279,Colour_Asymmetry_Pilot,2022.1.3,Win32,60.04924038,62c50e9c1127f2cd403a315f,,,,,,,,,,,,,,,,,,,,fourtwo,,-2,0.1666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[0.9372,0.20779999999999998,0.2704]","[0.0351999999999999,0.41159999999999997,0.0038000000000000256]",-53,-23,1,0,0,response5disk,-18,12,1,0,0,rectangle,-18,12,1,0,0,1,2,0.0028,0,-18,12,1,0,0,0,134,134,82,1,1,second,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,6081bf53d3c45fe4c8fd3ea3,62c538b636daf98b3ef3eecb,2022-07-06_09h04.10.279,Colour_Asymmetry_Pilot,2022.1.3,Win32,60.04924038,62c50e9c1127f2cd403a315f,,,,,,,,,,,,,,,,,,,,onetwo,,1,0.1997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[0.6547999999999998,-0.043199999999999905,-0.011800000000000033]","[0.9842,0.7409999999999999,-0.6628000000000001]",46,-49,1,0,0,response3disk,2,-1,1,0,0,rectangle,2,-1,1,0,0,1,1,0.0024,0,2,-1,1,0,0,0,135,135,26,1,26,first,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,6081bf53d3c45fe4c8fd3ea3,62c538b636daf98b3ef3eecb,2022-07-06_09h04.10.279,Colour_Asymmetry_Pilot,2022.1.3,Win32,60.04924038,62c50e9c1127f2cd403a315f,,,,,,,,,,,,,,,,,,,,fourthree,,4,0.2826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[-0.9138,-0.5296000000000001,-0.5529999999999999]","[-0.2942,-0.24719999999999998,-0.357]",38,64,1,0,0,response1disk,4,-1,1,0,0,rectangle,4,-1,1,0,0,1,1,0.0002,0,4,-1,1,0,0,0,136,136,116,1,35,second,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,6081bf53d3c45fe4c8fd3ea3,62c538b636daf98b3ef3eecb,2022-07-06_09h04.10.279,Colour_Asymmetry_Pilot,2022.1.3,Win32,60.04924038,62c50e9c1127f2cd403a315f,,,,,,,,,,,,,,,,,,,,onetwo,,-3,0.5496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[0.7018,0.7802,-0.16079999999999994]","[-0.17659999999999998,0.3253999999999999,0.19999999999999996]",-60,20,1,0,0,response7disk,-6,-3,1,0,0,rectangle,-6,-3,1,0,0,1,1,0.0003,0,-6,-3,1,0,0,0,137,137,87,1,6,second,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,6081bf53d3c45fe4c8fd3ea3,62c538b636daf98b3ef3eecb,2022-07-06_09h04.10.279,Colour_Asymmetry_Pilot,2022.1.3,Win32,60.04924038,62c50e9c1127f2cd403a315f,,,,,,,,,,,,,,,,,,,,onetwo,,-2,1.0829,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[0.4196,0.4665999999999999,0.3568]","[0.3881999999999999,-0.23939999999999995,-0.05040000000000011]",-56,-42,1,0,0,response5disk,-19,-5,1,0,0,rectangle,-19,-5,1,0,0,1,3,0.0025,0,-19,-5,1,0,0,0,138,138,96,1,15,second,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,6081bf53d3c45fe4c8fd3ea3,62c538b636daf98b3ef3eecb,2022-07-06_09h04.10.279,Colour_Asymmetry_Pilot,2022.1.3,Win32,60.04924038,62c50e9c1127f2cd403a315f,,,,,,,,,,,,,,,,,,,,twoone,,-2,0.2321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[-0.10599999999999998,-0.15300000000000002,0.15280000000000005]","[-0.7412000000000001,-0.08239999999999992,-0.6864]",-46,-45,1,0,0,response5disk,4,-8,1,0,0,rectangle,4,-8,1,0,0,1,2,0.0034,0,4,-8,1,0,0,0,139,139,114,1,33,second,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,6081bf53d3c45fe4c8fd3ea3,62c538b636daf98b3ef3eecb,2022-07-06_09h04.10.279,Colour_Asymmetry_Pilot,2022.1.3,Win32,60.04924038,62c50e9c1127f2cd403a315f,,,,,,,,,,,,,,,,,,,,onetwo,,3,0.3166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[-0.09019999999999995,0.44300000000000006,0.5371999999999999]","[-0.6235999999999999,-0.6786,-0.08239999999999992]",39,29,1,0,0,response1disk,13,1,1,0,0,rectangle,13,1,1,0,0,1,2,0.0001,0,13,1,1,0,0,0,140,140,32,1,32,first,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
