trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,Colourcodes,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_4.ran,StimulusPos,key_resp.keys,key_resp.rt,key_resp_2.keys,key_resp_2.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,Circle1_col,Ecc,Circle2_col,similarity,response_time,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,catchnumberprac,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,duringprac.thisRepN,duringprac.thisTrialN,duringprac.thisN,duringprac.thisIndex,duringprac.ran,mouse_7.clicked_name,catchprac,mouse_6.clicked_name,key_resp_22.keys,key_resp_22.rt,Circle1_colour,Circle2_colour,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,catchresponse,catchnumber,response_time_catch,Catch,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,Colourpair,Temporder,mouse_3.clicked_name,mouse_11.clicked_name,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,key_resp_instr_Ishi.keys,key_resp_instr_Ishi.rt,Ishi_trial_keyresp.keys,Ishi_textbox.text,Ishi_mouse.x,Ishi_mouse.y,Ishi_mouse.leftButton,Ishi_mouse.midButton,Ishi_mouse.rightButton,Ishi_mouse.clicked_name,Ishi_loop.thisRepN,Ishi_loop.thisTrialN,Ishi_loop.thisN,Ishi_loop.thisIndex,Ishi_loop.ran,imageaddress,textbox.text,mouse_4.x,mouse_4.y,mouse_4.leftButton,mouse_4.midButton,mouse_4.rightButton,mouse_4.clicked_name,textbox_2.text,mouse_8.x,mouse_8.y,mouse_8.leftButton,mouse_8.midButton,mouse_8.rightButton,mouse_8.clicked_name,textbox_3.text,mouse_9.x,mouse_9.y,mouse_9.leftButton,mouse_9.midButton,mouse_9.rightButton,mouse_9.clicked_name,textbox_4.text,mouse_12.x,mouse_12.y,mouse_12.leftButton,mouse_12.midButton,mouse_12.rightButton,mouse_12.clicked_name,textbox_5.text,mouse_13.x,mouse_13.y,mouse_13.leftButton,mouse_13.midButton,mouse_13.rightButton,mouse_13.clicked_name,textbox_6.text,mouse_14.x,mouse_14.y,mouse_14.leftButton,mouse_14.midButton,mouse_14.rightButton,textbox_7.text,mouse_15.x,mouse_15.y,mouse_15.leftButton,mouse_15.midButton,mouse_15.rightButton,mouse_15.clicked_name
,,,,,,6159f6b637bab134ea9bb92e,62c539d607160c13dfb487c9,2022-07-06_09h31.38.956,Colour_Asymmetry_Pilot,2022.1.3,Win32,70.60650992,62c50e9c1127f2cd403a315f,,,,,,,,,,,,,,,,,,,,twoone,,-4,1.0503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[-0.4902000000000001,0.2704,-0.45899999999999996]","[0.23920000000000008,0.2704,0.16060000000000008]",-19,60,1,0,0,response7disk,-2,-4,1,0,0,rectangle,-2,-4,1,0,0,3,1,0.0011,0,-2,-4,1,0,0,0,86,86,154,1,73,second,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,6159f6b637bab134ea9bb92e,62c539d607160c13dfb487c9,2022-07-06_09h31.38.956,Colour_Asymmetry_Pilot,2022.1.3,Win32,70.60650992,62c50e9c1127f2cd403a315f,,,,,,,,,,,,,,,,,,,,threefour,,-4,0.3665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[-0.9296,-0.12959999999999994,-0.043199999999999905]","[-0.4902000000000001,0.2704,-0.45899999999999996]",-30,77,1,0,0,response7disk,-7,9,1,0,0,rectangle,-7,9,1,0,0,3,2,0.0013,0,-7,9,1,0,0,0,87,87,22,1,22,first,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,6159f6b637bab134ea9bb92e,62c539d607160c13dfb487c9,2022-07-06_09h31.38.956,Colour_Asymmetry_Pilot,2022.1.3,Win32,70.60650992,62c50e9c1127f2cd403a315f,,,,,,,,,,,,,,,,,,,,threefour,,-4,0.4368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[0.34099999999999997,0.12939999999999996,-0.9766]","[-0.5922000000000001,-0.7492000000000001,-0.5296000000000001]",-35,74,1,0,0,response7disk,1,2,1,0,0,rectangle,77,37,1,0,0,3,3,1.8327,1,3,-5,1,0,0,0,88,88,11,1,11,first,response1disk_3,rectangle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,6159f6b637bab134ea9bb92e,62c539d607160c13dfb487c9,2022-07-06_09h31.38.956,Colour_Asymmetry_Pilot,2022.1.3,Win32,70.60650992,62c50e9c1127f2cd403a315f,,,,,,,,,,,,,,,,,,,,twofour,,-4,0.531,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[0.7018,0.7802,-0.16079999999999994]","[0.8115999999999999,-0.0040000000000000036,-0.09819999999999995]",-33,64,1,0,0,response7disk,5,-1,1,0,0,rectangle,5,-1,1,0,0,3,2,0.0013,0,5,-1,1,0,0,0,89,89,125,1,44,second,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,6159f6b637bab134ea9bb92e,62c539d607160c13dfb487c9,2022-07-06_09h31.38.956,Colour_Asymmetry_Pilot,2022.1.3,Win32,70.60650992,62c50e9c1127f2cd403a315f,,,,,,,,,,,,,,,,,,,,threeone,,-4,0.967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[-0.2942,-0.7648,-0.7492000000000001]","[0.6625999999999999,0.4980000000000002,-0.357]",-18,63,1,0,0,response7disk,-2,-10,1,0,0,rectangle,-2,-10,1,0,0,3,3,0.0012,0,-2,-10,1,0,0,0,90,90,4,1,4,first,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,6159f6b637bab134ea9bb92e,62c539d607160c13dfb487c9,2022-07-06_09h31.38.956,Colour_Asymmetry_Pilot,2022.1.3,Win32,70.60650992,62c50e9c1127f2cd403a315f,,,,,,,,,,,,,,,,,,,,onetwo,,4,1.5496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[-0.6942,-0.7648,-0.12959999999999994]","[-0.5922000000000001,-0.7492000000000001,-0.5296000000000001]",39,94,1,0,0,response1disk,-7,-2,1,0,0,rectangle,-7,-2,1,0,0,3,1,0.0017,0,-7,-2,1,0,0,0,91,91,126,1,45,second,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,6159f6b637bab134ea9bb92e,62c539d607160c13dfb487c9,2022-07-06_09h31.38.956,Colour_Asymmetry_Pilot,2022.1.3,Win32,70.60650992,62c50e9c1127f2cd403a315f,,,,,,,,,,,,,,,,,,,,threeone,,-4,0.6032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[-0.9688,-0.7412000000000001,-0.4902000000000001]","[0.19199999999999995,0.18419999999999992,0.5136000000000001]",-40,71,1,0,0,response7disk,7,2,1,0,0,rectangle,36,-60,1,0,0,1,1,1.8169,1,-3,9,1,0,0,0,92,92,97,1,16,second,response3disk_3,rectangle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,6159f6b637bab134ea9bb92e,62c539d607160c13dfb487c9,2022-07-06_09h31.38.956,Colour_Asymmetry_Pilot,2022.1.3,Win32,70.60650992,62c50e9c1127f2cd403a315f,,,,,,,,,,,,,,,,,,,,threefour,,-4,0.5166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[0.18419999999999992,-0.4276,-0.404]","[0.6625999999999999,0.4980000000000002,-0.357]",-44,58,1,0,0,response7disk,-11,11,1,0,0,rectangle,-11,11,1,0,0,1,1,0.0002,0,-11,11,1,0,0,0,93,93,30,1,30,first,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,6159f6b637bab134ea9bb92e,62c539d607160c13dfb487c9,2022-07-06_09h31.38.956,Colour_Asymmetry_Pilot,2022.1.3,Win32,70.60650992,62c50e9c1127f2cd403a315f,,,,,,,,,,,,,,,,,,,,fourtwo,,-4,0.4016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[0.12939999999999996,-0.2864,0.3253999999999999]","[0.7646000000000002,0.07440000000000002,0.2704]",-28,65,1,0,0,response7disk,-10,-4,1,0,0,rectangle,-10,-4,1,0,0,1,1,0.0002,0,-10,-4,1,0,0,0,94,94,146,1,65,second,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,6159f6b637bab134ea9bb92e,62c539d607160c13dfb487c9,2022-07-06_09h31.38.956,Colour_Asymmetry_Pilot,2022.1.3,Win32,70.60650992,62c50e9c1127f2cd403a315f,,,,,,,,,,,,,,,,,,,,twofour,,-4,0.5153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[0.7646000000000002,0.07440000000000002,0.2704]","[0.12939999999999996,-0.2864,0.3253999999999999]",-30,36,1,0,0,response7disk,-5,1,1,0,0,rectangle,-5,1,1,0,0,1,3,0.0013,0,-5,1,1,0,0,0,95,95,65,1,65,first,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,6159f6b637bab134ea9bb92e,62c539d607160c13dfb487c9,2022-07-06_09h31.38.956,Colour_Asymmetry_Pilot,2022.1.3,Win32,70.60650992,62c50e9c1127f2cd403a315f,,,,,,,,,,,,,,,,,,,,onetwo,,-4,0.3841,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[-0.7412000000000001,-0.08239999999999992,-0.6864]","[0.7802,-0.23140000000000005,-0.20799999999999996]",-38,93,1,0,0,response7disk,3,11,1,0,0,rectangle,3,11,1,0,0,1,2,0.0011,0,3,11,1,0,0,0,96,96,152,1,71,second,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,6159f6b637bab134ea9bb92e,62c539d607160c13dfb487c9,2022-07-06_09h31.38.956,Colour_Asymmetry_Pilot,2022.1.3,Win32,70.60650992,62c50e9c1127f2cd403a315f,,,,,,,,,,,,,,,,,,,,onetwo,,-4,0.3341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[-0.9216,-0.5529999999999999,-0.3962]","[0.40379999999999994,0.09000000000000008,0.44300000000000006]",-38,71,1,0,0,response7disk,-4,15,1,0,0,rectangle,-4,15,1,0,0,1,3,0.0012,0,-4,15,1,0,0,0,97,97,105,1,24,second,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,6159f6b637bab134ea9bb92e,62c539d607160c13dfb487c9,2022-07-06_09h31.38.956,Colour_Asymmetry_Pilot,2022.1.3,Win32,70.60650992,62c50e9c1127f2cd403a315f,,,,,,,,,,,,,,,,,,,,fourthree,,-4,0.4504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[-0.07459999999999989,0.12139999999999995,-0.9922]","[0.2862,0.7802,0.3568]",-21,55,1,0,0,response7disk,-2,-15,1,0,0,rectangle,-2,-15,1,0,0,1,3,0.0001,0,-2,-15,1,0,0,0,98,98,99,1,18,second,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,6159f6b637bab134ea9bb92e,62c539d607160c13dfb487c9,2022-07-06_09h31.38.956,Colour_Asymmetry_Pilot,2022.1.3,Win32,70.60650992,62c50e9c1127f2cd403a315f,,,,,,,,,,,,,,,,,,,,onetwo,,-4,0.4175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[-0.9296,-0.12959999999999994,-0.043199999999999905]","[0.34099999999999997,0.5841999999999998,-0.9844]",-47,90,1,0,0,response7disk,-11,-8,1,0,0,rectangle,-11,-8,1,0,0,1,1,0.0011,0,-11,-8,1,0,0,0,99,99,34,1,34,first,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,6159f6b637bab134ea9bb92e,62c539d607160c13dfb487c9,2022-07-06_09h31.38.956,Colour_Asymmetry_Pilot,2022.1.3,Win32,70.60650992,62c50e9c1127f2cd403a315f,,,,,,,,,,,,,,,,,,,,fourthree,,-4,0.4839,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[0.9842,0.7409999999999999,-0.6628000000000001]","[-0.9138,-0.5296000000000001,-0.5529999999999999]",-23,45,1,0,0,response7disk,-4,6,1,0,0,rectangle,-4,6,1,0,0,1,1,0.0002,0,-4,6,1,0,0,0,100,100,40,1,40,first,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,6159f6b637bab134ea9bb92e,62c539d607160c13dfb487c9,2022-07-06_09h31.38.956,Colour_Asymmetry_Pilot,2022.1.3,Win32,70.60650992,62c50e9c1127f2cd403a315f,,,,,,,,,,,,,,,,,,,,threeone,,-4,0.6502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[-0.07459999999999989,0.12139999999999995,-0.9922]","[-0.09019999999999995,0.44300000000000006,0.5371999999999999]",-33,82,1,0,0,response7disk,9,-3,1,0,0,rectangle,9,-3,1,0,0,1,2,0.0009,0,9,-3,1,0,0,0,101,101,53,1,53,first,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,6159f6b637bab134ea9bb92e,62c539d607160c13dfb487c9,2022-07-06_09h31.38.956,Colour_Asymmetry_Pilot,2022.1.3,Win32,70.60650992,62c50e9c1127f2cd403a315f,,,,,,,,,,,,,,,,,,,,twofour,,-4,0.5987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[0.23920000000000008,0.2704,0.16060000000000008]","[0.3881999999999999,-0.23939999999999995,-0.05040000000000011]",-39,71,1,0,0,response7disk,-6,-2,1,0,0,rectangle,-6,-2,1,0,0,1,1,0.001,0,-6,-2,1,0,0,0,102,102,35,1,35,first,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,6159f6b637bab134ea9bb92e,62c539d607160c13dfb487c9,2022-07-06_09h31.38.956,Colour_Asymmetry_Pilot,2022.1.3,Win32,70.60650992,62c50e9c1127f2cd403a315f,,,,,,,,,,,,,,,,,,,,onethree,,-4,0.7339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[-0.9138,-0.5296000000000001,-0.5529999999999999]","[0.9842,0.7409999999999999,-0.6628000000000001]",-39,74,1,0,0,response7disk,7,-12,1,0,0,rectangle,7,-12,1,0,0,1,2,0.0012,0,7,-12,1,0,0,0,103,103,121,1,40,second,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,6159f6b637bab134ea9bb92e,62c539d607160c13dfb487c9,2022-07-06_09h31.38.956,Colour_Asymmetry_Pilot,2022.1.3,Win32,70.60650992,62c50e9c1127f2cd403a315f,,,,,,,,,,,,,,,,,,,,twofour,,-4,0.5357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[0.5528,0.7409999999999999,-0.71]","[-0.34920000000000007,-0.702,-0.5216]",-43,87,1,0,0,response7disk,-5,11,1,0,0,rectangle,-5,11,1,0,0,1,1,0.0013,0,-5,11,1,0,0,0,104,104,118,1,37,second,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,6159f6b637bab134ea9bb92e,62c539d607160c13dfb487c9,2022-07-06_09h31.38.956,Colour_Asymmetry_Pilot,2022.1.3,Win32,70.60650992,62c50e9c1127f2cd403a315f,,,,,,,,,,,,,,,,,,,,onethree,,-4,0.4163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[0.3802000000000001,0.19199999999999995,-0.6394]","[0.23920000000000008,0.2704,0.16060000000000008]",-42,81,1,0,0,response7disk,-4,12,1,0,0,rectangle,-4,12,1,0,0,1,2,0.0009,0,-4,12,1,0,0,0,105,105,52,1,52,first,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,6159f6b637bab134ea9bb92e,62c539d607160c13dfb487c9,2022-07-06_09h31.38.956,Colour_Asymmetry_Pilot,2022.1.3,Win32,70.60650992,62c50e9c1127f2cd403a315f,,,,,,,,,,,,,,,,,,,,fourtwo,,-2,1.3851,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[0.18419999999999992,-0.4276,-0.404]","[0.9763999999999999,-0.1137999999999999,-0.6314]",-66,-37,1,0,0,response5disk,-15,5,1,0,0,rectangle,-15,5,1,0,0,1,1,0.0014,0,-15,5,1,0,0,0,106,106,124,1,43,second,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,6159f6b637bab134ea9bb92e,62c539d607160c13dfb487c9,2022-07-06_09h31.38.956,Colour_Asymmetry_Pilot,2022.1.3,Win32,70.60650992,62c50e9c1127f2cd403a315f,,,,,,,,,,,,,,,,,,,,onetwo,,-4,0.834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[-0.6,0.16860000000000008,0.44300000000000006]","[0.9686000000000001,0.5763999999999998,0.11359999999999992]",-47,66,1,0,0,response7disk,-4,12,1,0,0,rectangle,-4,12,1,0,0,1,1,0.0005,0,-4,12,1,0,0,0,107,107,6,1,6,first,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,6159f6b637bab134ea9bb92e,62c539d607160c13dfb487c9,2022-07-06_09h31.38.956,Colour_Asymmetry_Pilot,2022.1.3,Win32,70.60650992,62c50e9c1127f2cd403a315f,,,,,,,,,,,,,,,,,,,,onetwo,,-4,0.5671,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[-0.050999999999999934,-0.6706000000000001,-0.804]","[0.12939999999999996,-0.2864,0.3253999999999999]",-23,58,1,0,0,response7disk,2,-3,1,0,0,rectangle,2,-3,1,0,0,1,1,0.0002,0,2,-3,1,0,0,0,108,108,59,1,59,first,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,6159f6b637bab134ea9bb92e,62c539d607160c13dfb487c9,2022-07-06_09h31.38.956,Colour_Asymmetry_Pilot,2022.1.3,Win32,70.60650992,62c50e9c1127f2cd403a315f,,,,,,,,,,,,,,,,,,,,fourtwo,,-4,0.4184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[0.7802,-0.23140000000000005,-0.20799999999999996]","[0.9842,0.7409999999999999,-0.6628000000000001]",-30,55,1,0,0,response7disk,1,-6,1,0,0,rectangle,1,-6,1,0,0,1,3,0.0014,0,1,-6,1,0,0,0,109,109,29,1,29,first,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,6159f6b637bab134ea9bb92e,62c539d607160c13dfb487c9,2022-07-06_09h31.38.956,Colour_Asymmetry_Pilot,2022.1.3,Win32,70.60650992,62c50e9c1127f2cd403a315f,,,,,,,,,,,,,,,,,,,,onetwo,,-4,1.033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[-0.38039999999999996,-0.4276,-0.1452]","[0.30180000000000007,-0.7884,-0.9844]",-25,55,1,0,0,response7disk,0,12,1,0,0,rectangle,0,12,1,0,0,1,3,0.0002,0,0,12,1,0,0,0,110,110,78,1,78,first,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,6159f6b637bab134ea9bb92e,62c539d607160c13dfb487c9,2022-07-06_09h31.38.956,Colour_Asymmetry_Pilot,2022.1.3,Win32,70.60650992,62c50e9c1127f2cd403a315f,,,,,,,,,,,,,,,,,,,,threefour,,-4,0.3338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[0.9763999999999999,0.30979999999999985,-0.6786]","[-0.6,0.16860000000000008,0.44300000000000006]",-26,50,1,0,0,response7disk,-2,-1,1,0,0,rectangle,-2,-1,1,0,0,1,2,0.0015,0,-2,-1,1,0,0,0,111,111,94,1,13,second,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,6159f6b637bab134ea9bb92e,62c539d607160c13dfb487c9,2022-07-06_09h31.38.956,Colour_Asymmetry_Pilot,2022.1.3,Win32,70.60650992,62c50e9c1127f2cd403a315f,,,,,,,,,,,,,,,,,,,,fourtwo,,-4,0.7168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[0.8115999999999999,-0.0040000000000000036,-0.09819999999999995]","[-0.8198,-0.5138,-0.7492000000000001]",-25,56,1,0,0,response7disk,13,11,1,0,0,rectangle,13,11,1,0,0,1,3,0.0016,0,13,11,1,0,0,0,112,112,75,1,75,first,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,6159f6b637bab134ea9bb92e,62c539d607160c13dfb487c9,2022-07-06_09h31.38.956,Colour_Asymmetry_Pilot,2022.1.3,Win32,70.60650992,62c50e9c1127f2cd403a315f,,,,,,,,,,,,,,,,,,,,threefour,,-4,0.367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[-0.6235999999999999,-0.6786,-0.08239999999999992]","[-0.48240000000000005,0.3175999999999999,0.2156]",-27,88,1,0,0,response7disk,9,2,1,0,0,rectangle,9,2,1,0,0,1,1,0.0014,0,9,2,1,0,0,0,113,113,69,1,69,first,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,6159f6b637bab134ea9bb92e,62c539d607160c13dfb487c9,2022-07-06_09h31.38.956,Colour_Asymmetry_Pilot,2022.1.3,Win32,70.60650992,62c50e9c1127f2cd403a315f,,,,,,,,,,,,,,,,,,,,threeone,,-4,0.5316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[0.23920000000000008,0.2704,0.16060000000000008]","[-0.9766,-0.34920000000000007,0.2156]",-32,66,1,0,0,response7disk,8,7,1,0,0,rectangle,8,7,1,0,0,1,2,0.0014,0,8,7,1,0,0,0,114,114,112,1,31,second,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,6159f6b637bab134ea9bb92e,62c539d607160c13dfb487c9,2022-07-06_09h31.38.956,Colour_Asymmetry_Pilot,2022.1.3,Win32,70.60650992,62c50e9c1127f2cd403a315f,,,,,,,,,,,,,,,,,,,,fourtwo,,-4,0.5667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[-0.9766,-0.6472,0.07440000000000002]","[0.6625999999999999,0.4980000000000002,-0.357]",-19,55,1,0,0,response7disk,10,-8,1,0,0,rectangle,10,-8,1,0,0,1,2,1E-04,0,10,-8,1,0,0,0,115,115,17,1,17,first,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,6159f6b637bab134ea9bb92e,62c539d607160c13dfb487c9,2022-07-06_09h31.38.956,Colour_Asymmetry_Pilot,2022.1.3,Win32,70.60650992,62c50e9c1127f2cd403a315f,,,,,,,,,,,,,,,,,,,,fourtwo,,-4,1.1006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[0.2784,-0.31000000000000005,-0.5452]","[0.5449999999999999,-0.31000000000000005,-0.0354000000000001]",-33,64,1,0,0,response7disk,-5,3,1,0,0,rectangle,-5,3,1,0,0,1,1,0.0013,0,-5,3,1,0,0,0,116,116,9,1,9,first,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,6159f6b637bab134ea9bb92e,62c539d607160c13dfb487c9,2022-07-06_09h31.38.956,Colour_Asymmetry_Pilot,2022.1.3,Win32,70.60650992,62c50e9c1127f2cd403a315f,,,,,,,,,,,,,,,,,,,,threefour,,-4,0.5001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[0.3568,-0.20799999999999996,-0.9844]","[0.09799999999999986,-0.24719999999999998,0.15280000000000005]",-23,61,1,0,0,response7disk,-13,-3,1,0,0,rectangle,-13,-3,1,0,0,1,1,0.0002,0,-13,-3,1,0,0,0,117,117,127,1,46,second,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,6159f6b637bab134ea9bb92e,62c539d607160c13dfb487c9,2022-07-06_09h31.38.956,Colour_Asymmetry_Pilot,2022.1.3,Win32,70.60650992,62c50e9c1127f2cd403a315f,,,,,,,,,,,,,,,,,,,,fourtwo,,-4,0.417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[0.12939999999999996,-0.2864,0.3253999999999999]","[-0.050999999999999934,-0.6706000000000001,-0.804]",-29,86,1,0,0,response7disk,7,6,1,0,0,rectangle,7,6,1,0,0,1,1,0.0001,0,7,6,1,0,0,0,118,118,140,1,59,second,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
